Infinitive,пя́лить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пя́лящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пя́ливший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пя́лимый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пя́ленный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,пя́ля
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,пя́лив
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,пя́ливши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,пя́лю
2nd Sing,пя́лишь
3rd Sing,пя́лит
1st Pl,пя́лим
2nd Pl,пя́лите
3rd Pl,пя́лят
Past M,пя́лил
Past F,пя́лила
Past N,пя́лило
Past PL,пя́лили
Imp S,пя́ль
Imp PL,пя́льте
