Infinitive,апелли́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,апелли́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,апелли́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,апелли́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,апелли́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,апелли́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,апелли́рую
2nd Sing,апелли́руешь
3rd Sing,апелли́рует
1st Pl,апелли́руем
2nd Pl,апелли́руете
3rd Pl,апелли́руют
Past M,апелли́ровал
Past F,апелли́ровала
Past N,апелли́ровало
Past PL,апелли́ровали
Imp S,апелли́руй
Imp PL,апелли́руйте
