Infinitive,уйти́
Zaliznyak Class,irreg-b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,уше́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уйдя́
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,уше́дши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,уйду́
2nd Sing,уйдёшь
3rd Sing,уйдёт
1st Pl,уйдём
2nd Pl,уйдёте
3rd Pl,уйду́т
Past M,ушёл
Past F,ушла́
Past N,ушло́
Past PL,ушли́
Imp S,уйди́
Imp PL,уйди́те
