Infinitive,труби́ть
Zaliznyak Class,4b⑧
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,трубя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,труби́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,труби́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тру́бленный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,трубя́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,труби́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,труби́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,трублю́
2nd Sing,труби́шь
3rd Sing,труби́т
1st Pl,труби́м
2nd Pl,труби́те
3rd Pl,трубя́т
Past M,труби́л
Past F,труби́ла
Past N,труби́ло
Past PL,труби́ли
Imp S,труби́
Imp PL,труби́те
