Infinitive,трактова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,тракту́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,трактова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тракту́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,трактова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,тракту́юсь
2nd Sing,тракту́ешься
3rd Sing,тракту́ется
1st Pl,тракту́емся
2nd Pl,тракту́етесь
3rd Pl,тракту́ются
Past M,трактова́лся
Past F,трактова́лась
Past N,трактова́лось
Past PL,трактова́лись
Imp S,тракту́йся
Imp PL,тракту́йтесь
