Infinitive,трево́жить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,трево́жащий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,трево́живший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,трево́жимый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,трево́женный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,трево́жа
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,трево́жив
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,трево́живши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,трево́жу
2nd Sing,трево́жишь
3rd Sing,трево́жит
1st Pl,трево́жим
2nd Pl,трево́жите
3rd Pl,трево́жат
Past M,трево́жил
Past F,трево́жила
Past N,трево́жило
Past PL,трево́жили
Imp S,трево́жь
Imp PL,трево́жьте
