Infinitive,трепа́ть
Zaliznyak Class,6c(-ё-)
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,тре́плющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,трепа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,трёпанный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,трепля́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,трепа́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,трепа́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,треплю́
2nd Sing,тре́плешь
3rd Sing,тре́плет
1st Pl,тре́плем
2nd Pl,тре́плете
3rd Pl,тре́плют
Past M,трепа́л
Past F,трепа́ла
Past N,трепа́ло
Past PL,трепа́ли
Imp S,трепли́
Imp PL,трепли́те
