Infinitive,трепета́ть
Zaliznyak Class,6c(-щ-)
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,трепе́щущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,трепета́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,трепеща́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,трепета́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,трепета́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,трепещу́
2nd Sing,трепе́щешь
3rd Sing,трепе́щет
1st Pl,трепе́щем
2nd Pl,трепе́щете
3rd Pl,трепе́щут
Past M,трепета́л
Past F,трепета́ла
Past N,трепета́ло
Past PL,трепета́ли
Imp S,трепещи́
Imp PL,трепещи́те
