Infinitive,тра́хнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,тра́хнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,тра́хнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тра́хнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,тра́хнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,тра́хну
2nd Sing,тра́хнешь
3rd Sing,тра́хнет
1st Pl,тра́хнем
2nd Pl,тра́хнете
3rd Pl,тра́хнут
Past M,тра́хнул
Past F,тра́хнула
Past N,тра́хнуло
Past PL,тра́хнули
Imp S,тра́хни
Imp PL,тра́хните
