Infinitive,трясти́
Zaliznyak Class,7b/b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,трясу́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тря́сший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тряся́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тря́сши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,трясу́
2nd Sing,трясёшь
3rd Sing,трясёт
1st Pl,трясём
2nd Pl,трясёте
3rd Pl,трясу́т
Past M,трёс
Past F,трясла́
Past N,трясло́
Past PL,трясли́
Imp S,тряси́
Imp PL,тряси́те
