Infinitive,трепа́ться
Zaliznyak Class,6c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,тре́плющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,трепа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,трепля́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,трепа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,треплю́сь
2nd Sing,тре́плешься
3rd Sing,тре́плется
1st Pl,тре́племся
2nd Pl,тре́плетесь
3rd Pl,тре́плются
Past M,трепа́лся
Past F,трепа́лась
Past N,трепа́лось
Past PL,трепа́лись
Imp S,трепли́сь
Imp PL,трепли́тесь
