Infinitive,тра́титься
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,тра́тящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тра́тившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тра́тясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тра́тившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,тра́чусь
2nd Sing,тра́тишься
3rd Sing,тра́тится
1st Pl,тра́тимся
2nd Pl,тра́титесь
3rd Pl,тра́тятся
Past M,тра́тился
Past F,тра́тилась
Past N,тра́тилось
Past PL,тра́тились
Imp S,тра́ться
Imp PL,тра́тьтесь
