Infinitive,тра́хаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,тра́хающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тра́хавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тра́хаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тра́хавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,тра́хаюсь
2nd Sing,тра́хаешься
3rd Sing,тра́хается
1st Pl,тра́хаемся
2nd Pl,тра́хаетесь
3rd Pl,тра́хаются
Past M,тра́хался
Past F,тра́халась
Past N,тра́халось
Past PL,тра́хались
Imp S,тра́хайся
Imp PL,тра́хайтесь
