Infinitive,тро́гаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,тро́гающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тро́гавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тро́гаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тро́гавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,тро́гаюсь
2nd Sing,тро́гаешься
3rd Sing,тро́гается
1st Pl,тро́гаемся
2nd Pl,тро́гаетесь
3rd Pl,тро́гаются
Past M,тро́гался
Past F,тро́галась
Past N,тро́галось
Past PL,тро́гались
Imp S,тро́гайся
Imp PL,тро́гайтесь
