Infinitive,треща́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,треща́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,треща́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,треща́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,треща́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,треща́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,трещу́
2nd Sing,трещи́шь
3rd Sing,трещи́т
1st Pl,трещи́м
2nd Pl,трещи́те
3rd Pl,треща́т
Past M,треща́л
Past F,треща́ла
Past N,треща́ло
Past PL,треща́ли
Imp S,трещи́
Imp PL,трещи́те
