Infinitive,труди́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,трудя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,труди́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,трудя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,труди́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,тружу́сь
2nd Sing,тру́дишься
3rd Sing,тру́дится
1st Pl,тру́димся
2nd Pl,тру́дитесь
3rd Pl,тру́дятся
Past M,труди́лся
Past F,труди́лась
Past N,труди́лось
Past PL,труди́лись
Imp S,труди́сь
Imp PL,труди́тесь
