Infinitive,тро́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,тро́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,тро́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тро́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,тро́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,тро́ну
2nd Sing,тро́нешь
3rd Sing,тро́нет
1st Pl,тро́нем
2nd Pl,тро́нете
3rd Pl,тро́нут
Past M,тро́нул
Past F,тро́нула
Past N,тро́нуло
Past PL,тро́нули
Imp S,тро́нь
Imp PL,тро́ньте
