Infinitive,трясти́сь
Zaliznyak Class,7b/b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,трясу́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тря́сшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тряся́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тря́сшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,трясу́сь
2nd Sing,трясёшься
3rd Sing,трясётся
1st Pl,трясёмся
2nd Pl,трясётесь
3rd Pl,трясу́тся
Past M,тря́сся
Past F,трясла́сь
Past N,трясло́сь
Past PL,трясли́сь
Imp S,тряси́сь
Imp PL,тряси́тесь
