Infinitive,трезво́нить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,трезво́нящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,трезво́нивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,трезво́нимый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,трезво́ня
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,трезво́нив
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,трезво́нивши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,трезво́ню
2nd Sing,трезво́нишь
3rd Sing,трезво́нит
1st Pl,трезво́ним
2nd Pl,трезво́ните
3rd Pl,трезво́нят
Past M,трезво́нил
Past F,трезво́нила
Past N,трезво́нило
Past PL,трезво́нили
Imp S,трезво́нь
Imp PL,трезво́ньте
