Infinitive,тро́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,тро́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,тро́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,тро́нусь
2nd Sing,тро́нешься
3rd Sing,тро́нется
1st Pl,тро́немся
2nd Pl,тро́нетесь
3rd Pl,тро́нутся
Past M,тро́нулся
Past F,тро́нулась
Past N,тро́нулось
Past PL,тро́нулись
Imp S,тро́нься
Imp PL,тро́ньтесь
