Infinitive,тренирова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,трениру́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тренирова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,трениру́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тренирова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,трениру́юсь
2nd Sing,трениру́ешься
3rd Sing,трениру́ется
1st Pl,трениру́емся
2nd Pl,трениру́етесь
3rd Pl,трениру́ются
Past M,тренирова́лся
Past F,тренирова́лась
Past N,тренирова́лось
Past PL,тренирова́лись
Imp S,трениру́йся
Imp PL,трениру́йтесь
