Infinitive,трево́житься
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,трево́жащийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,трево́жившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,трево́жась
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,трево́жившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,трево́жусь
2nd Sing,трево́жишься
3rd Sing,трево́жится
1st Pl,трево́жимся
2nd Pl,трево́житесь
3rd Pl,трево́жатся
Past M,трево́жился
Past F,трево́жилась
Past N,трево́жилось
Past PL,трево́жились
Imp S,трево́жься
Imp PL,трево́жьтесь
