Infinitive,тру́сить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,тру́сящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тру́сивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тру́ся
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тру́сив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,тру́сивши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,тру́шу
2nd Sing,тру́сишь
3rd Sing,тру́сит
1st Pl,тру́сим
2nd Pl,тру́сите
3rd Pl,тру́сят
Past M,тру́сил
Past F,тру́сила
Past N,тру́сило
Past PL,тру́сили
Imp S,тру́сь
Imp PL,тру́сьте
