Infinitive,трансформи́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,трансформи́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,трансформи́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,трансформи́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,трансформи́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,трансформи́руюсь
2nd Sing,трансформи́руешься
3rd Sing,трансформи́руется
1st Pl,трансформи́руемся
2nd Pl,трансформи́руетесь
3rd Pl,трансформи́руются
Past M,трансформи́ровался
Past F,трансформи́ровалась
Past N,трансформи́ровалось
Past PL,трансформи́ровались
Imp S,трансформи́руйся
Imp PL,трансформи́руйтесь
