Infinitive,тре́боваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,тре́бующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тре́бовавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тре́буясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тре́бовавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,тре́буюсь
2nd Sing,тре́буешься
3rd Sing,тре́буется
1st Pl,тре́буемся
2nd Pl,тре́буетесь
3rd Pl,тре́буются
Past M,тре́бовался
Past F,тре́бовалась
Past N,тре́бовалось
Past PL,тре́бовались
Imp S,тре́буйся
Imp PL,тре́буйтесь
