Infinitive,трепыха́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,трепыха́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,трепыха́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,трепыха́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,трепыха́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,трепыха́юсь
2nd Sing,трепыха́ешься
3rd Sing,трепыха́ется
1st Pl,трепыха́емся
2nd Pl,трепыха́етесь
3rd Pl,трепыха́ются
Past M,трепыха́лся
Past F,трепыха́лась
Past N,трепыха́лось
Past PL,трепыха́лись
Imp S,трепыха́йся
Imp PL,трепыха́йтесь
