Infinitive,тре́скаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,тре́скающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тре́скавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тре́скаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тре́скавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,тре́скаюсь
2nd Sing,тре́скаешься
3rd Sing,тре́скается
1st Pl,тре́скаемся
2nd Pl,тре́скаетесь
3rd Pl,тре́скаются
Past M,тре́скался
Past F,тре́скалась
Past N,тре́скалось
Past PL,тре́скались
Imp S,тре́скайся
Imp PL,тре́скайтесь
