Infinitive,тряхну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,тряхну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,тряхну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,тряхну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,тряхну́
2nd Sing,тряхнёшь
3rd Sing,тряхнёт
1st Pl,тряхнём
2nd Pl,тряхнёте
3rd Pl,тряхну́т
Past M,тряхну́л
Past F,тряхну́ла
Past N,тряхну́ло
Past PL,тряхну́ли
Imp S,тряхни́
Imp PL,тряхни́те
