Infinitive,трезве́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,трезве́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,трезве́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,трезве́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,трезве́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,трезве́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,трезве́ю
2nd Sing,трезве́ешь
3rd Sing,трезве́ет
1st Pl,трезве́ем
2nd Pl,трезве́ете
3rd Pl,трезве́ют
Past M,трезве́л
Past F,трезве́ла
Past N,трезве́ло
Past PL,трезве́ли
Imp S,трезве́й
Imp PL,трезве́йте
