Infinitive,садану́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,садану́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,садану́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,садану́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,садану́
2nd Sing,саданёшь
3rd Sing,саданёт
1st Pl,саданём
2nd Pl,саданёте
3rd Pl,садану́т
Past M,садану́л
Past F,садану́ла
Past N,садану́ло
Past PL,садану́ли
Imp S,садани́
Imp PL,садани́те
