Infinitive,сади́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,садя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сади́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,садя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сади́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сажу́сь
2nd Sing,сади́шься
3rd Sing,сади́тся
1st Pl,сади́мся
2nd Pl,сади́тесь
3rd Pl,садя́тся
Past M,сади́лся
Past F,сади́лась
Past N,сади́лось
Past PL,сади́лись
Imp S,сади́сь
Imp PL,сади́тесь
