Infinitive,здра́вствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,здра́вствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,здра́вствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,здра́вствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,здра́вствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,здра́вствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,здра́вствую
2nd Sing,здра́вствуешь
3rd Sing,здра́вствует
1st Pl,здра́вствуем
2nd Pl,здра́вствуете
3rd Pl,здра́вствуют
Past M,здра́вствовал
Past F,здра́вствовала
Past N,здра́вствовало
Past PL,здра́вствовали
Imp S,здра́вствуй
Imp PL,здра́вствуйте
