Infinitive,здоро́ваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,здоро́вающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,здоро́вавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,здоро́ваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,здоро́вавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,здоро́ваюсь
2nd Sing,здоро́ваешься
3rd Sing,здоро́вается
1st Pl,здоро́ваемся
2nd Pl,здоро́ваетесь
3rd Pl,здоро́ваются
Past M,здоро́вался
Past F,здоро́валась
Past N,здоро́валось
Past PL,здоро́вались
Imp S,здоро́вайся
Imp PL,здоро́вайтесь
