Infinitive,ело́зить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ело́зящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ело́зивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ело́зя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ело́зив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ело́зивши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ело́жу
2nd Sing,ело́зишь
3rd Sing,ело́зит
1st Pl,ело́зим
2nd Pl,ело́зите
3rd Pl,ело́зят
Past M,ело́зил
Past F,ело́зила
Past N,ело́зило
Past PL,ело́зили
Imp S,ело́зь
Imp PL,ело́зьте
