Infinitive,зна́читься
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зна́чащийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зна́чившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зна́чась
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зна́чившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зна́чусь
2nd Sing,зна́чишься
3rd Sing,зна́чится
1st Pl,зна́чимся
2nd Pl,зна́читесь
3rd Pl,зна́чатся
Past M,зна́чился
Past F,зна́чилась
Past N,зна́чилось
Past PL,зна́чились
Imp S,зна́чься
Imp PL,зна́чьтесь
