Infinitive,знако́миться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,знако́мящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,знако́мившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,знако́мясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,знако́мившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,знако́млюсь
2nd Sing,знако́мишься
3rd Sing,знако́мится
1st Pl,знако́мимся
2nd Pl,знако́митесь
3rd Pl,знако́мятся
Past M,знако́мился
Past F,знако́милась
Past N,знако́милось
Past PL,знако́мились
Imp S,знако́мься
Imp PL,знако́мьтесь
