Infinitive,зна́чить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зна́чащий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зна́чивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зна́ча
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зна́чив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,зна́чивши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,зна́чу
2nd Sing,зна́чишь
3rd Sing,зна́чит
1st Pl,зна́чим
2nd Pl,зна́чите
3rd Pl,зна́чат
Past M,зна́чил
Past F,зна́чила
Past N,зна́чило
Past PL,зна́чили
Imp S,зна́чь
Imp PL,зна́чьте
