Infinitive,бомбардирова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,бомбардиру́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бомбардирова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бомбардиру́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бомбардиро́ванный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,бомбардиру́я
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,бомбардирова́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,бомбардирова́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,бомбардиру́ю
2nd Sing,бомбардиру́ешь
3rd Sing,бомбардиру́ет
1st Pl,бомбардиру́ем
2nd Pl,бомбардиру́ете
3rd Pl,бомбардиру́ют
Past M,бомбардирова́л
Past F,бомбардирова́ла
Past N,бомбардирова́ло
Past PL,бомбардирова́ли
Imp S,бомбардиру́й
Imp PL,бомбардиру́йте
