Infinitive,боро́ться
Zaliznyak Class,10c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,бо́рющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,боро́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,боря́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,боро́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,борю́сь
2nd Sing,бо́решься
3rd Sing,бо́рется
1st Pl,бо́ремся
2nd Pl,бо́ретесь
3rd Pl,бо́рются
Past M,боро́лся
Past F,боро́лась
Past N,боро́лось
Past PL,боро́лись
Imp S,бори́сь
Imp PL,бори́тесь
