Infinitive,болта́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,болта́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,болта́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,болта́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,болта́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,болта́юсь
2nd Sing,болта́ешься
3rd Sing,болта́ется
1st Pl,болта́емся
2nd Pl,болта́етесь
3rd Pl,болта́ются
Past M,болта́лся
Past F,болта́лась
Past N,болта́лось
Past PL,болта́лись
Imp S,болта́йся
Imp PL,болта́йтесь
