Infinitive,боле́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,боле́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,боле́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,боле́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,боле́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,боле́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,боле́ю
2nd Sing,боле́ешь
3rd Sing,боле́ет
1st Pl,боле́ем
2nd Pl,боле́ете
3rd Pl,боле́ют
Past M,боле́л
Past F,боле́ла
Past N,боле́ло
Past PL,боле́ли
Imp S,боле́й
Imp PL,боле́йте
