Infinitive,боя́ться
Zaliznyak Class,5b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,боя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,боя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,боя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,боя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,бою́сь
2nd Sing,бои́шься
3rd Sing,бои́тся
1st Pl,бои́мся
2nd Pl,бои́тесь
3rd Pl,боя́тся
Past M,боя́лся
Past F,боя́лась
Past N,боя́лось
Past PL,боя́лись
Imp S,бо́йся
Imp PL,бо́йтесь
