Infinitive,съе́здить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,съе́здивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,съе́здив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,съе́здивши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,съе́зжу
2nd Sing,съе́здишь
3rd Sing,съе́здит
1st Pl,съе́здим
2nd Pl,съе́здите
3rd Pl,съе́здят
Past M,съе́здил
Past F,съе́здила
Past N,съе́здило
Past PL,съе́здили
Imp S,съе́зди
Imp PL,съе́здите
