Infinitive,съезжа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,съезжа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,съезжа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,съезжа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,съезжа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,съезжа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,съезжа́ю
2nd Sing,съезжа́ешь
3rd Sing,съезжа́ет
1st Pl,съезжа́ем
2nd Pl,съезжа́ете
3rd Pl,съезжа́ют
Past M,съезжа́л
Past F,съезжа́ла
Past N,съезжа́ло
Past PL,съезжа́ли
Imp S,съезжа́й
Imp PL,съезжа́йте
