Infinitive,съе́сть
Zaliznyak Class,irreg-b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,съе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,съе́денный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,съе́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,съе́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,съе́м
2nd Sing,съе́шь
3rd Sing,съе́ст
1st Pl,съеди́м
2nd Pl,съеди́те
3rd Pl,съедя́т
Past M,съе́л
Past F,съе́ла
Past N,съе́ло
Past PL,съе́ли
Imp S,съе́шь
Imp PL,съе́шьте
