Infinitive,съезжа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,съезжа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,съезжа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,съезжа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,съезжа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,съезжа́юсь
2nd Sing,съезжа́ешься
3rd Sing,съезжа́ется
1st Pl,съезжа́емся
2nd Pl,съезжа́етесь
3rd Pl,съезжа́ются
Past M,съезжа́лся
Past F,съезжа́лась
Past N,съезжа́лось
Past PL,съезжа́лись
Imp S,съезжа́йся
Imp PL,съезжа́йтесь
