Infinitive,съязви́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,съязви́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,съязвлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,съязви́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,съязви́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,съязвлю́
2nd Sing,съязви́шь
3rd Sing,съязви́т
1st Pl,съязви́м
2nd Pl,съязви́те
3rd Pl,съязвя́т
Past M,съязви́л
Past F,съязви́ла
Past N,съязви́ло
Past PL,съязви́ли
Imp S,съязви́
Imp PL,съязви́те
