Infinitive,съе́хаться
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,съе́хавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,съе́хавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,съе́дусь
2nd Sing,съе́дешься
3rd Sing,съе́дется
1st Pl,съе́демся
2nd Pl,съе́детесь
3rd Pl,съе́дутся
Past M,съе́хался
Past F,съе́халась
Past N,съе́халось
Past PL,съе́хались
Imp S,съезжа́йся
Imp PL,съезжа́йтесь
