Infinitive,съеда́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,съеда́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,съеда́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,съеда́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,съеда́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,съеда́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,съеда́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,съеда́ю
2nd Sing,съеда́ешь
3rd Sing,съеда́ет
1st Pl,съеда́ем
2nd Pl,съеда́ете
3rd Pl,съеда́ют
Past M,съеда́л
Past F,съеда́ла
Past N,съеда́ло
Past PL,съеда́ли
Imp S,съеда́й
Imp PL,съеда́йте
