Infinitive,съе́хать
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,съе́хавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,съе́хав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,съе́хавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,съе́ду
2nd Sing,съе́дешь
3rd Sing,съе́дет
1st Pl,съе́дем
2nd Pl,съе́дете
3rd Pl,съе́дут
Past M,съе́хал
Past F,съе́хала
Past N,съе́хало
Past PL,съе́хали
Imp S,съезжа́й
Imp PL,съезжа́йте
