Infinitive,уче́сть
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,учтённый
PART:0:Participle Type,passive
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,учтя́
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,учётши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,учту́
2nd Sing,учтёшь
3rd Sing,учтёт
1st Pl,учтём
2nd Pl,учтёте
3rd Pl,учту́т
Past M,учёл
Past F,учла́
Past N,учло́
Past PL,учли́
Imp S,учти́
Imp PL,учти́те
