Infinitive,учаща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,учаща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,учаща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,учаща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,учаща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,учаща́юсь
2nd Sing,учаща́ешься
3rd Sing,учаща́ется
1st Pl,учаща́емся
2nd Pl,учаща́етесь
3rd Pl,учаща́ются
Past M,учаща́лся
Past F,учаща́лась
Past N,учаща́лось
Past PL,учаща́лись
Imp S,учаща́йся
Imp PL,учаща́йтесь
