Infinitive,учи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уча́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,учи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уча́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,учи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,учу́сь
2nd Sing,у́чишься
3rd Sing,у́чится
1st Pl,у́чимся
2nd Pl,у́читесь
3rd Pl,у́чатся
Past M,учи́лся
Past F,учи́лась
Past N,учи́лось
Past PL,учи́лись
Imp S,учи́сь
Imp PL,учи́тесь
