Infinitive,учреди́ть
Zaliznyak Class,4b(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,учреди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,учреждённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,учреди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,учреди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,учрежу́
2nd Sing,учреди́шь
3rd Sing,учреди́т
1st Pl,учреди́м
2nd Pl,учреди́те
3rd Pl,учредя́т
Past M,учреди́л
Past F,учреди́ла
Past N,учреди́ло
Past PL,учреди́ли
Imp S,учреди́
Imp PL,учреди́те
