Infinitive,учу́ять
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,учу́явший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,учу́янный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,учу́яв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,учу́явши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,учу́ю
2nd Sing,учу́ешь
3rd Sing,учу́ет
1st Pl,учу́ем
2nd Pl,учу́ете
3rd Pl,учу́ют
Past M,учу́ял
Past F,учу́яла
Past N,учу́яло
Past PL,учу́яли
Imp S,учу́й
Imp PL,учу́йте
