Infinitive,учи́тываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,учи́тывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,учи́тывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,учи́тываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,учи́тывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,учи́тываюсь
2nd Sing,учи́тываешься
3rd Sing,учи́тывается
1st Pl,учи́тываемся
2nd Pl,учи́тываетесь
3rd Pl,учи́тываются
Past M,учи́тывался
Past F,учи́тывалась
Past N,учи́тывалось
Past PL,учи́тывались
Imp S,учи́тывайся
Imp PL,учи́тывайтесь
