Infinitive,уча́ствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,уча́ствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,уча́ствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уча́ствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,уча́ствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,уча́ствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,уча́ствую
2nd Sing,уча́ствуешь
3rd Sing,уча́ствует
1st Pl,уча́ствуем
2nd Pl,уча́ствуете
3rd Pl,уча́ствуют
Past M,уча́ствовал
Past F,уча́ствовала
Past N,уча́ствовало
Past PL,уча́ствовали
Imp S,уча́ствуй
Imp PL,уча́ствуйте
