Infinitive,участи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,участи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,участи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,учащу́сь
2nd Sing,участи́шься
3rd Sing,участи́тся
1st Pl,участи́мся
2nd Pl,участи́тесь
3rd Pl,участя́тся
Past M,участи́лся
Past F,участи́лась
Past N,участи́лось
Past PL,участи́лись
Imp S,участи́сь
Imp PL,участи́тесь
