Infinitive,рвану́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,рвану́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рвану́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,рвану́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,рвану́
2nd Sing,рванёшь
3rd Sing,рванёт
1st Pl,рванём
2nd Pl,рванёте
3rd Pl,рвану́т
Past M,рвану́л
Past F,рвану́ла
Past N,рвану́ло
Past PL,рвану́ли
Imp S,рвани́
Imp PL,рвани́те
