Infinitive,рва́ться
Zaliznyak Class,6°b/c''
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,рву́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,рва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рва́вшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,рву́сь
2nd Sing,рвёшься
3rd Sing,рвётся
1st Pl,рвёмся
2nd Pl,рвётесь
3rd Pl,рву́тся
Past M,рва́лся
Past F,рвала́сь
Past N,рвало́сь
Past PL,рвали́сь
Imp S,рви́сь
Imp PL,рви́тесь
