Infinitive,рвану́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,рвану́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рвану́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,рвану́сь
2nd Sing,рванёшься
3rd Sing,рванётся
1st Pl,рванёмся
2nd Pl,рванётесь
3rd Pl,рвану́тся
Past M,рвану́лся
Past F,рвану́лась
Past N,рвану́лось
Past PL,рвану́лись
Imp S,рвани́сь
Imp PL,рвани́тесь
