Infinitive,пирова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пиру́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пирова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пиру́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пирова́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пирова́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пиру́ю
2nd Sing,пиру́ешь
3rd Sing,пиру́ет
1st Pl,пиру́ем
2nd Pl,пиру́ете
3rd Pl,пиру́ют
Past M,пирова́л
Past F,пирова́ла
Past N,пирова́ло
Past PL,пирова́ли
Imp S,пиру́й
Imp PL,пиру́йте
