Infinitive,писа́ться
Zaliznyak Class,6c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пи́шущийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,писа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пиша́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,писа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пишу́сь
2nd Sing,пи́шешься
3rd Sing,пи́шется
1st Pl,пи́шемся
2nd Pl,пи́шетесь
3rd Pl,пи́шутся
Past M,писа́лся
Past F,писа́лась
Past N,писа́лось
Past PL,писа́лись
Imp S,пиши́сь
Imp PL,пиши́тесь
