Infinitive,пи́ть
Zaliznyak Class,11b/c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пью́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пи́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,пи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пью́
2nd Sing,пьёшь
3rd Sing,пьёт
1st Pl,пьём
2nd Pl,пьёте
3rd Pl,пью́т
Past M,пи́л
Past F,пила́
Past N,пи́ло
Past PL,пи́ли
Imp S,пе́й
Imp PL,пе́йте
